"Date","Price","Open","High","Low","Change %"
"09/26/2019","105.317","105.317","105.317","105.317","0.77%"
"09/25/2019","104.513","104.513","104.513","104.513","-1.91%"
"09/24/2019","106.553","106.553","106.553","106.553","1.62%"
"09/23/2019","104.858","104.858","104.858","104.858","0.47%"
"09/22/2019","104.370","104.370","104.370","104.370","-0.63%"
"09/20/2019","105.033","105.033","105.033","105.033","1.48%"
"09/19/2019","103.497","103.497","103.497","103.497","0.74%"
"09/18/2019","102.734","102.734","102.734","102.734","0.52%"
"09/17/2019","102.206","102.206","102.206","102.206","0.64%"
"09/16/2019","101.556","101.556","101.556","101.556","0.15%"
"09/15/2019","101.403","101.403","101.403","101.403","0.34%"
"09/13/2019","101.064","101.064","101.064","101.064","-0.84%"
"09/12/2019","101.916","101.916","101.916","101.916","-1.47%"
"09/11/2019","103.434","103.434","103.434","103.434","0.13%"
"09/10/2019","103.301","103.301","103.301","103.301","-1.48%"
"09/09/2019","104.856","104.856","104.856","104.856","-0.89%"
"09/08/2019","105.793","105.944","105.944","105.793","-0.18%"
"09/06/2019","105.979","105.979","105.979","105.979","0.84%"
"09/05/2019","105.095","105.095","105.095","105.095","-2.29%"
"09/04/2019","107.557","107.557","107.557","107.557","0.64%"
"09/03/2019","106.877","106.877","106.877","106.877","-1.18%"
"09/02/2019","108.149","108.149","108.149","108.149","0.30%"
"09/01/2019","107.821","107.821","107.821","107.821","-0.16%"
"08/30/2019","107.999","107.999","107.999","107.999","-0.03%"
"08/29/2019","108.030","108.030","108.030","108.030","-0.45%"
"08/28/2019","108.513","108.513","108.513","108.513","0.02%"
"08/27/2019","108.491","108.491","108.491","108.491","2.18%"
"08/26/2019","106.178","106.178","106.178","106.178","-1.93%"
"08/25/2019","108.270","108.429","108.429","108.270","0.66%"
"08/23/2019","107.555","107.555","107.555","107.555","1.08%"
"08/22/2019","106.405","106.405","106.405","106.405","-0.92%"
"08/21/2019","107.392","107.392","107.392","107.392","0.27%"
"08/20/2019","107.099","107.099","107.099","107.099","1.88%"
"08/19/2019","105.120","105.120","105.120","105.120","-0.17%"
"08/18/2019","105.301","105.457","105.457","105.301","-0.54%"
"08/16/2019","105.877","105.877","105.877","105.877","0.30%"
"08/15/2019","105.558","105.558","105.558","105.558","-0.34%"
"08/14/2019","105.916","105.916","105.916","105.916","2.38%"
"08/13/2019","103.454","103.454","103.454","103.454","-0.51%"
"08/12/2019","103.981","103.981","103.981","103.981","1.48%"
